cultivar,season_4,season_6,ksu,genomic_data
13CS1808,0,0,1,0
Ajabsido,0,0,1,0
Big_Kahuna,1,0,0,0
Blade,0,0,1,0
Macia,0,0,1,0
P898012,0,0,1,0
PI144134,1,1,1,1
PI145619,1,1,1,1
PI145626,1,1,1,1
PI145632,0,0,1,1
PI145633,1,1,1,1
PI146890,1,1,1,1
PI147224,0,0,1,1
PI152591,1,1,1,1
PI152651,1,1,1,1
PI152694,1,1,1,1
PI152727,1,1,1,1
PI152728,1,0,0,1
PI152730,1,1,0,0
PI152733,1,1,1,1
PI152751,1,0,1,1
PI152771,1,1,1,1
PI152816,1,1,0,1
PI152828,1,1,1,1
PI152860,1,1,1,1
PI152862,1,1,1,1
PI152923,1,1,1,1
PI152961,1,1,1,1
PI152963,0,0,1,1
PI152965,1,1,1,1
PI152966,1,1,1,1
PI152967,1,1,0,1
PI152971,1,1,1,1
PI153877,1,1,0,1
PI154750,1,1,1,0
PI154844,1,1,1,0
PI154846,1,1,1,1
PI154944,1,1,1,1
PI154987,1,1,1,1
PI154988,1,1,1,1
PI155149,0,0,1,1
PI155516,1,1,1,1
PI155760,1,1,1,1
PI155885,1,1,1,1
PI156018,0,0,0,1
PI156178,1,1,0,1
PI156203,0,0,1,1
PI156217,1,1,1,1
PI156268,1,1,0,0
PI156326,1,1,0,1
PI156330,1,1,1,1
PI156393,1,1,0,1
PI156463,1,1,1,1
PI156487,1,1,1,1
PI156871,1,1,0,1
PI156890,1,1,1,1
PI157030,1,1,1,1
PI157033,0,0,1,1
PI157035,1,1,1,1
PI157804,1,1,1,1
PI167093,1,1,1,1
PI170787,1,1,1,1
PI175919,1,1,1,1
PI176766,1,1,1,1
PI179749,1,1,1,1
PI180348,1,1,1,1
PI181080,1,0,1,1
PI181083,1,0,1,1
PI181899,0,0,0,1
PI185573,0,0,0,1
PI195754,1,1,1,0
PI196049,1,1,1,1
PI196583,1,1,1,1
PI196586,1,1,1,1
PI196598,1,1,1,1
PI197542,1,1,1,1
PI19770,1,1,1,1
PI213900,1,1,1,0
PI213901,0,0,0,1
PI217691,1,1,1,1
PI218112,1,1,1,1
PI221548,1,1,1,1
PI221651,1,1,0,1
PI226096,0,0,1,0
PI22913,1,1,1,0
PI229841,1,1,1,0
PI239439,0,0,0,1
PI250583,0,0,0,1
PI251672,1,1,1,1
PI253986,1,0,1,1
PI255239,1,1,1,0
PI255744,1,0,1,1
PI257599,1,1,1,1
PI257600,1,1,1,1
PI266927,1,1,1,1
PI267573,1,1,1,1
PI273465,1,1,0,0
PI273969,1,1,1,1
PI276837,1,1,1,1
PI291246,0,0,0,1
PI297130,1,1,1,0
PI297155,1,1,1,0
PI297171,1,1,1,0
PI300118,0,0,0,1
PI300119,0,0,0,1
PI302221,0,0,0,1
PI302252,1,1,1,1
PI303658,1,1,1,1
PI329256,1,1,1,1
PI329286,1,1,1,1
PI329299,1,0,1,1
PI329300,1,1,1,1
PI329301,1,1,0,1
PI329310,1,1,1,1
PI329319,1,1,1,1
PI329326,1,1,1,1
PI329333,1,1,1,1
PI329338,1,1,1,1
PI329351,1,1,0,1
PI329394,1,1,1,1
PI329403,1,1,1,1
PI329435,1,1,1,1
PI329440,0,1,1,1
PI329465,1,1,1,1
PI329466,1,1,0,1
PI329471,1,1,1,1
