date	sitename	cultivar	canopy_height	day_of_year	temp_min	temp_max	temp_mean	gdd	rh_min	rh_max	rh_mean	vpd_mean	precip	precip_cumulative	first_water_deficit_treatment	second_water_deficit_treatment
1	2016-10-21	Ashland Bottoms KSU 2016 Season Range 32 Pass 12	PI570042	286	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
2	2016-10-21	Ashland Bottoms KSU 2016 Season Range 16 Pass 16	PI570038	313	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
3	2016-10-21	Ashland Bottoms KSU 2016 Season Range 22 Pass 15	PI570074	297	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
4	2016-10-21	Ashland Bottoms KSU 2016 Season Range 23 Pass 9	PI570075	355	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
5	2016-10-21	Ashland Bottoms KSU 2016 Season Range 16 Pass 25	PI570075	350	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
6	2016-10-21	Ashland Bottoms KSU 2016 Season Range 22 Pass 10	PI570096	372	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
7	2016-10-21	Ashland Bottoms KSU 2016 Season Range 33 Pass 13	PI570091	330	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
8	2016-10-21	Ashland Bottoms KSU 2016 Season Range 24 Pass 22	PI570090	331	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
9	2016-10-21	Ashland Bottoms KSU 2016 Season Range 21 Pass 15	PI570087	300	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
10	2016-10-21	Ashland Bottoms KSU 2016 Season Range 22 Pass 8	PI570085	331	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
11	2016-10-21	Ashland Bottoms KSU 2016 Season Range 29 Pass 9	PI570110	384	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
12	2016-10-21	Ashland Bottoms KSU 2016 Season Range 21 Pass 16	PI570110	387	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
13	2016-10-21	Ashland Bottoms KSU 2016 Season Range 16 Pass 24	PI570373	358	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
14	2016-10-21	Ashland Bottoms KSU 2016 Season Range 17 Pass 13	PI570431	488	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
