date	sitename	cultivar	canopy_height	day_of_year	temp_min	temp_max	temp_mean	gdd	rh_min	rh_max	rh_mean	vpd_mean	precip	precip_cumulative	first_water_deficit_treatment	second_water_deficit_treatment
1	2017-05-01	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	9	121	11	33.8	23.2	155	6.3	46.7	17.6	2.63	0	0	False	False
2	2017-05-02	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	9	122	15	35.8	25.9	170	7.9	47.5	17	3.05	0	0	False	False
3	2017-05-03	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	9	123	14.9	37.3	27.8	186	7.8	50	17.6	3.37	0	0	False	False
4	2017-05-04	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	9	124	16.6	39	28.9	204	7.8	44.1	18.3	3.6	0	0	False	False
5	2017-05-05	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	10	125	15.9	41.1	30.4	222	7	66.9	20.2	3.98	0	0	False	False
6	2017-05-06	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	10	126	19.3	35.7	27.9	240	9.8	38.6	20.1	3.16	0	0	False	False
7	2017-05-07	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	13	127	14.4	22.6	18.7	248	22.5	66.2	38.2	1.37	0	0	False	False
8	2017-05-08	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	14	128	11.6	26.1	18.8	257	20.5	79.7	36.8	1.47	0.25	0.25	False	False
9	2017-05-13	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	17	133	17.4	36.7	27.4	320	8.6	38.9	21.1	3.15	0	0.5	False	False
10	2017-05-15	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	21	135	16.4	30.7	23.4	350	8	38.3	23.1	2.35	0	0.5	False	False
11	2017-05-16	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	21	136	11.5	25.3	19.3	358	12.7	49.3	27.5	1.7	0	0.5	False	False
12	2017-05-19	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	29	139	13.9	29.9	22	394	9.2	43.6	23.1	2.18	0	0.5	False	False
13	2017-05-20	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	31	140	11.2	34	24.2	407	8	51.8	20.2	2.75	0	0.5	False	False
14	2017-05-25	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	53	145	23	38	30.4	503	4.7	21.3	11.8	4	0	0.5	False	False
15	2017-06-02	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	95	153	18.1	38.2	29.6	645	9.8	54.4	24.9	3.45	0	0.5	False	False
16	2017-06-03	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	99	154	22.3	41.3	32.9	667	8.1	30.6	16.6	4.42	0	0.5	False	False
17	2017-06-04	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	111	155	23.3	41.2	33.7	690	8.8	26.4	14.9	4.69	0	0.5	False	False
18	2017-06-05	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	119	156	23.6	41.5	34.1	712	9.3	28.5	15.5	4.76	0	0.5	False	False
19	2017-06-06	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	120	157	23.6	41.8	33.4	735	9.6	34	16.9	4.53	0	0.5	False	False
20	2017-06-08	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	136	159	19.5	40.5	31.5	777	7.2	42.7	14.8	4.22	0	0.5	False	False
21	2017-06-09	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	146	160	21.9	40.8	32.4	799	8.2	35.4	16	4.39	0	0.5	False	False
22	2017-06-10	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	155	161	19.9	39.6	30.4	818	5.4	32	16.2	3.93	0	0.5	False	False
23	2017-06-15	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	194	166	16	41.4	30.1	904	2.7	37.9	11.2	4.27	0	0.5	False	False
24	2017-06-16	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	203	167	16.6	42.5	31.8	924	3.2	38.5	11.3	4.63	0	0.5	False	False
25	2017-06-17	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	209	168	21.6	42.8	33.3	946	4.1	30.7	10.7	4.91	0	0.5	False	False
26	2017-06-19	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	228	170	26.1	47.5	36.9	996	5.8	27.4	11.5	5.93	0	0.5	False	False
27	2017-06-20	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	233	171	25.3	48	37.8	1023	5.5	30.1	12.6	6.21	0	0.5	False	False
28	2017-06-21	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	240	172	26.9	46.8	38.2	1050	8.1	31.9	15.9	6.01	0	0.5	False	False
29	2017-06-24	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	235	175	26.3	46.7	37.1	1127	6	36.4	17.2	5.65	0	0.5	False	False
30	2017-06-25	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	259	176	28.5	45.9	38.7	1154	8.4	42.3	16.2	6.03	0	0.5	False	False
31	2017-06-26	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	254	177	28.8	43.9	36.6	1180	9	38.7	21.7	5.02	0	0.5	False	False
32	2017-06-27	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	265	178	25.1	42.5	35.4	1204	6	30.2	13.6	5.24	0	0.5	False	False
33	2017-06-28	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	268	179	23	42.8	33.7	1227	8.6	40.6	21.6	4.41	0	0.5	False	False
34	2017-06-29	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	272	180	23.3	42.1	33.4	1250	9.2	41.6	20.1	4.45	0	0.5	False	False
35	2017-06-30	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	275	181	24	41	32.5	1272	4.5	26.8	13	4.51	0	0.5	False	False
36	2017-07-01	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	282	182	23.8	44.3	34.2	1296	3.1	27.1	11.4	5.14	0	0.5	False	False
37	2017-07-02	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	284	183	23.8	43	34.8	1320	9.3	33.7	14.3	5.01	0	0.5	False	False
38	2017-07-03	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	288	184	26.5	40.9	34.6	1343	17.9	54.1	30.1	4.05	0	0.5	False	False
39	2017-07-04	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	297	185	27.2	43.2	36.3	1369	9.9	44.1	21.3	5	0	0.5	False	False
40	2017-07-05	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	296	186	27.3	43.6	36.9	1394	10.1	39.5	20.5	5.24	0	0.5	False	False
41	2017-07-06	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	293	187	28	44.2	36.9	1420	10.9	46.3	23.7	5.04	0	0.5	False	False
42	2017-07-08	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	309	189	29.1	44.7	37	1475	11.7	41.3	24.7	4.94	0	0.5	False	False
43	2017-07-11	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	317	192	26.9	39.5	32.8	1548	22.5	63.2	40.5	3.16	0	0.5	False	False
44	2017-07-12	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	322	193	26.8	42.3	35.2	1573	17.8	57.2	32	4.13	0	0.5	False	False
45	2017-07-13	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	321	194	27.1	42.2	35.3	1597	16.3	62.6	33.5	4.07	0	0.5	False	False
46	2017-07-20	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	338	201	24.9	39.4	32.1	1756	25	75.7	47	2.76	0	3.8	False	False
47	2017-08-06	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	382	218	25.3	39.6	32.9	2134	13.6	50.6	29.9	3.74	0	34.79	True	False
48	2017-08-08	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	382	220	21.4	41.7	32.9	2178	10.5	58.9	25.5	4.09	0	34.79	True	False
49	2017-08-10	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	384	222	26.6	40.8	33.8	2225	18.4	67.9	34.6	3.56	0	34.79	True	False
50	2017-08-15	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	387	227	24.6	38.6	31.4	2334	10.3	58.4	31.3	3.37	0	50.79	False	True
51	2017-08-16	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	388	228	23	38.8	30.9	2355	9.7	49.2	25	3.64	0	50.79	False	True
52	2017-08-17	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	391	229	22.7	39.2	30.1	2376	9.6	44.9	25.6	3.39	0	50.79	False	True
53	2017-08-19	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	396	231	23.5	39.8	32.7	2418	13.6	61.1	28.3	3.81	0	50.79	False	True
54	2017-08-25	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	405	237	22.7	40.9	32.7	2551	14.6	68.8	36.2	3.54	0	50.79	False	True
55	2017-08-26	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	408	238	26.9	42.5	34	2575	12.9	54.8	29.6	4	0	50.79	False	True
56	2017-08-29	MAC Field Scanner Season 4 Range 40 Column 6	PI329841	410	241	24.4	41.7	33.8	2647	13	58.9	31.6	3.96	0	50.79	False	True
57	2017-05-01	MAC Field Scanner Season 4 Range 43 Column 7	PI329511	9	121	11	33.8	23.2	155	6.3	46.7	17.6	2.63	0	0	False	False
58	2017-05-02	MAC Field Scanner Season 4 Range 43 Column 7	PI329511	9	122	15	35.8	25.9	170	7.9	47.5	17	3.05	0	0	False	False
